0,8,21,1.000000
0,13,2,1.000000
0,13,18,1.000000
0,20,16,1.000000
0,55,0,0.500000
1,7,8,1.000000
1,8,2,1.000000
1,8,9,1.000000
1,8,11,1.000000
1,8,16,0.500000
1,8,17,0.666667
1,8,23,0.500000
1,9,1,1.000000
1,17,16,1.000000
1,30,17,1.000000
1,37,8,1.500000
1,37,9,0.333333
1,37,10,0.500000
1,38,9,3.000000
1,48,17,1.000000
1,55,0,0.666667
1,66,14,1.000000
2,12,17,1.000000
2,13,16,1.000000
2,13,19,0.500000
2,16,16,1.000000
2,36,13,1.000000
2,36,15,1.000000
2,37,8,1.000000
2,37,10,1.000000
2,37,11,1.333333
2,37,12,0.833333
2,37,14,2.000000
3,9,6,1.000000
3,12,14,1.000000
3,12,20,0.500000
3,12,22,0.333333
3,14,11,1.000000
3,36,6,1.000000
3,36,7,1.000000
3,37,18,0.500000
3,65,5,1.000000
3,65,7,1.000000
3,91,0,1.000000
4,8,13,1.000000
4,13,9,1.000000
4,14,9,0.500000
4,27,20,1.000000
4,33,0,1.000000
4,33,1,1.000000
4,34,2,2.000000
4,68,17,1.000000
5,3,9,1.000000
5,6,21,1.000000
5,11,1,1.000000
5,17,11,1.000000
5,34,3,1.500000
5,38,22,1.000000
5,45,7,1.000000
5,67,17,1.000000
5,79,20,2.000000
5,82,22,1.000000
6,19,18,1.000000
6,38,19,1.000000
6,38,21,2.000000
6,38,23,0.666667
6,39,14,2.000000
6,57,19,1.000000
6,78,20,1.000000
7,9,13,1.000000
7,20,18,1.000000
7,31,21,0.500000
7,37,20,1.250000
7,38,23,1.000000
7,42,19,1.000000
7,53,16,1.000000
8,2,15,0.363636
8,2,16,1.000000
8,2,17,1.000000
8,2,21,2.000000
8,8,12,1.000000
8,13,15,1.000000
8,14,9,1.000000
8,25,12,1.000000
8,46,20,1.000000
8,46,21,0.500000
9,5,10,1.000000
9,8,18,1.000000
9,25,19,1.000000
9,29,8,1.000000
9,41,20,1.000000
9,55,0,1.000000
9,55,2,1.000000
9,76,11,1.000000
10,4,19,1.000000
10,8,12,1.000000
10,23,12,0.800000
10,27,20,0.333333
10,29,7,1.000000
10,29,11,1.000000
10,29,14,1.000000
10,31,23,1.000000
10,61,0,1.000000
11,3,2,1.000000
11,9,0,1.000000
11,13,14,1.000000
11,17,18,0.500000
11,21,16,1.000000
11,24,23,0.200000
11,25,16,0.666667
11,28,20,1.000000
11,36,14,1.000000
11,66,16,1.000000
12,3,12,1.000000
12,68,18,1.000000
12,68,19,1.000000
12,68,20,1.000000
13,2,16,1.000000
13,5,21,1.000000
13,5,23,1.000000
13,7,10,1.000000
13,17,12,1.000000
13,21,13,1.000000
13,25,22,0.500000
13,30,16,0.333333
13,59,20,0.500000
13,76,14,2.000000
14,4,21,1.000000
14,8,20,0.500000
14,11,19,1.000000
14,15,14,1.000000
14,15,18,1.000000
14,23,0,1.000000
14,23,7,1.000000
14,23,8,1.500000
14,23,9,1.000000
14,23,10,0.500000
14,23,11,1.000000
14,23,12,1.000000
14,23,16,1.000000
14,23,18,1.000000
14,23,19,1.200000
14,23,20,0.500000
14,23,21,1.000000
14,23,22,0.833333
14,23,23,0.200000
14,25,0,1.000000
14,25,2,1.000000
14,27,16,1.000000
14,30,20,0.333333
15,0,2,1.000000
15,0,15,1.000000
15,11,0,1.000000
15,11,1,1.000000
15,11,4,1.000000
15,20,16,0.500000
15,23,20,1.000000
15,40,12,1.000000
15,96,14,1.000000
16,3,9,1.000000
16,3,17,1.000000
16,4,4,1.000000
16,6,13,1.000000
16,6,16,0.666667
16,6,17,1.000000
16,6,18,0.500000
16,7,2,1.000000
16,13,2,1.000000
16,17,17,1.000000
16,27,13,1.000000
16,35,14,1.000000
16,38,8,1.000000
16,55,11,2.000000
16,81,0,1.000000
16,81,1,1.000000
16,98,23,1.000000
17,3,10,1.000000
17,3,11,0.500000
17,4,9,0.666667
17,4,17,1.000000
17,5,17,1.000000
17,9,17,1.000000
17,12,2,1.000000
17,13,21,1.000000
17,19,14,1.000000
17,25,14,1.000000
17,26,23,1.000000
17,29,16,1.000000
17,35,20,1.000000
17,37,19,2.000000
17,41,16,1.500000
17,71,19,1.000000
17,76,23,1.000000
18,4,13,1.000000
18,4,21,1.000000
18,4,23,1.000000
18,6,14,1.000000
18,18,13,1.500000
18,18,14,1.000000
18,19,0,0.500000
18,19,1,1.000000
18,19,12,1.000000
18,19,13,0.666667
18,19,14,2.000000
18,19,15,1.000000
18,19,23,1.000000
18,23,19,2.000000
18,33,17,1.000000
18,36,10,1.000000
18,39,18,1.000000
18,72,18,0.333333
19,6,8,1.000000
19,10,18,0.500000
19,18,0,1.000000
19,18,13,1.000000
19,18,14,0.500000
19,19,0,1.500000
19,19,13,1.333333
19,19,14,0.400000
19,19,15,2.000000
19,20,13,2.000000
19,20,14,1.000000
19,27,16,1.000000
19,30,17,1.000000
19,35,22,0.500000
19,37,12,1.000000
19,38,1,0.666667
19,40,18,0.666667
19,41,12,1.000000
19,42,6,2.000000
19,46,19,1.000000
19,47,7,1.000000
19,51,9,0.333333
19,51,17,0.250000
19,51,20,0.200000
19,52,0,0.250000
19,52,2,0.500000
19,52,16,0.500000
19,53,1,0.400000
19,53,3,2.000000
19,53,8,0.500000
19,53,10,1.000000
19,53,17,0.500000
19,54,13,0.166667
19,54,15,0.166667
19,54,16,0.166667
