Episode:179, reward42.2, passenger48
Episode:180, reward-43.6, passenger36
Episode:181, reward-3.3, passenger43
Episode:182, reward-267.8, passenger17
Episode:183, reward-53.3, passenger38
Episode:184, reward-334.4, passenger8
Episode:185, reward-264.6, passenger13
Episode:186, reward-309.5, passenger14
Episode:187, reward101.8, passenger50
Episode:188, reward-63.5, passenger44
Episode:189, reward-99.1, passenger30
Episode:190, reward-68.1, passenger34
Episode:191, reward2.1, passenger43
Episode:192, reward-113.1, passenger34
Episode:193, reward-241.6, passenger18
Episode:194, reward-287.8, passenger24
Episode:195, reward8.0, passenger39
Episode:196, reward-385.3, passenger3
Episode:197, reward15.5, passenger42
Episode:198, reward-158.9, passenger26
Episode:199, reward360.9, passenger76
Episode:200, reward-60.3, passenger40
Episode:201, reward-247.7, passenger20
Episode:202, reward-272.6, passenger14
Episode:203, reward-474.7, passenger0
Episode:204, reward-160.0, passenger24
Episode:205, reward-181.3, passenger27
Episode:206, reward57.8, passenger42
Episode:207, reward-472.0, passenger0
Episode:208, reward-84.9, passenger37
Episode:209, reward-221.4, passenger22
Episode:210, reward-28.3, passenger36
Episode:211, reward134.1, passenger49
Episode:212, reward-148.3, passenger24
Episode:213, reward-184.4, passenger23
Episode:214, reward86.4, passenger49
Episode:215, reward-193.9, passenger27
Episode:216, reward-89.1, passenger31
Episode:217, reward-139.8, passenger28
Episode:218, reward-388.3, passenger9
Episode:219, reward-123.7, passenger27
Episode:220, reward-461.1, passenger1
Episode:221, reward-162.5, passenger26
Episode:222, reward-365.9, passenger8
Episode:223, reward-324.5, passenger8
Episode:224, reward-425.9, passenger2
Episode:225, reward-369.1, passenger12
Episode:226, reward-3.6, passenger40
Episode:227, reward23.1, passenger46
Episode:228, reward-403.3, passenger3
Episode:229, reward-29.1, passenger37
Episode:230, reward-278.0, passenger14
Episode:231, reward-389.1, passenger1
Episode:232, reward-73.0, passenger30
Episode:233, reward-478.2, passenger1
Episode:234, reward-204.0, passenger25
Episode:235, reward-70.1, passenger32
Episode:236, reward-136.9, passenger30
Episode:237, reward-180.6, passenger25
Episode:238, reward-364.4, passenger5
Episode:239, reward-297.7, passenger15
Episode:240, reward-238.0, passenger18
Episode:241, reward-329.9, passenger8
Episode:242, reward370.8, passenger76
Episode:243, reward-299.5, passenger15
Episode:244, reward-298.0, passenger12
Episode:245, reward67.2, passenger46
Episode:246, reward-427.9, passenger0
